"title","authors","author_count","year","publication_date","journal","publisher","type","is_oa","doi","doi_url","pdf_url","openalex_id","pmid","cited_by_count"
"AI in Policing: Capturing Police Performance (Good and Bad) in Routine, Rare, and Novel Events","Seth Watts, Michael D. White, Aili Malm",3,2026,"2026-01-19","CrimRxiv",NA,"article",TRUE,"https://doi.org/10.21428/cb6ab371.c691ef98","https://doi.org/10.21428/cb6ab371.c691ef98","https://www.crimrxiv.com/pub/k4k0rpp1/download/pdf","https://openalex.org/W7124744856",NA,0
"Does automated feedback impact the acceptability of AI-generated police body worn camera review? An implementation science natural experiment","Seth Watts, Brandon del Pozo, Michael D. White, Aili Malm",4,2025,"2025-11-24","Journal of Experimental Criminology","Springer Science+Business Media","article",TRUE,"https://doi.org/10.1007/s11292-025-09711-7","https://doi.org/10.21428/cb6ab371.c691ef98","https://link.springer.com/content/pdf/10.1007/s11292-025-09711-7.pdf","https://openalex.org/W4416603187","https://pubmed.ncbi.nlm.nih.gov/41537090",0
"Officer Acceptance and Use of AI-Driven Body-Worn Camera Footage Review","Michael D. White, Seth Watts, Aili Malm, Genesis B. Navarrete",4,2025,"2025-09-22","American Journal of Criminal Justice","Springer Science+Business Media","article",FALSE,"https://doi.org/10.1007/s12103-025-09857-0","https://doi.org/10.21428/cb6ab371.c691ef98",NA,"https://openalex.org/W4414428454",NA,0
"An Evaluation of Truleo’s AI-based Body-Worn Camera Analytics","Michael D. White, Seth Watts, Aili Malm",3,2025,"2025-03-31","CrimRxiv",NA,"preprint",TRUE,"https://doi.org/10.21428/cb6ab371.45f5258f","https://doi.org/10.21428/cb6ab371.c691ef98","https://www.crimrxiv.com/pub/hy6q0g5t/download/pdf","https://openalex.org/W4408994445",NA,1
"Officer Acceptance and Use of AI-Driven Body-Worn Camera Footage Review","Michael D. White, Seth Watts, Aili Malm, Genesis B. Navarrete",4,2025,"2025-03-27","CrimRxiv",NA,"preprint",TRUE,"https://doi.org/10.21428/cb6ab371.291631e5","https://doi.org/10.21428/cb6ab371.c691ef98","https://www.crimrxiv.com/pub/6wabd3zc/download/pdf","https://openalex.org/W4408905677",NA,1
"Can De-escalation Training Reduce Use of Force and Injuries to Citizens Without Risking Officer Safety?","Carlena Orosco, Michael D. White, Seth Watts",3,2025,"2025-01-06","Applied police briefings :",NA,"article",TRUE,"https://doi.org/10.22215/apb.v2i1.4996","https://doi.org/10.21428/cb6ab371.c691ef98","https://appliedpolicebriefings.com/index.php/APB/article/download/4996/3702","https://openalex.org/W4414116178",NA,0
"Can De-escalation Training Reduce Use of Force and Injuries to Citizens Without Risking Officer Safety?","Carlena Orosco, Michael D. White, Seth Watts",3,2025,"2025-01-06","Applied police briefings :",NA,"article",TRUE,"https://doi.org/10.22215/apb.v1i3.4996","https://doi.org/10.21428/cb6ab371.c691ef98",NA,"https://openalex.org/W4406202142",NA,0
"Who is fatigued? A repeated cross-sectional survey of officer attitudes towards people who use opioids, naloxone, and their role in responding to opioid overdoses","Seth Watts, Michael D. White, Dina Perrone, Aili Malm",4,2024,"2024-10-24","Journal of Criminal Justice","Elsevier BV","article",FALSE,"https://doi.org/10.1016/j.jcrimjus.2024.102308","https://doi.org/10.21428/cb6ab371.c691ef98",NA,"https://openalex.org/W4403706253",NA,0
"Understanding Police Involvement at Opioid Overdose Incidents Through Body-Worn Camera Footage","Seth Watts, Michael D. White, Carlena Orosco, Dina Perrone, Aili Malm",5,2024,"2024-09-04","Applied police briefings :",NA,"article",TRUE,"https://doi.org/10.22215/apb.v1i2.5019","https://doi.org/10.21428/cb6ab371.c691ef98","https://appliedpolicebriefings.com/index.php/APB/article/download/5019/3605","https://openalex.org/W4404787808",NA,0
"More Than Use of Force: Examining Alternative Outcomes for Police De-Escalation Training","Michael D. White, Carlena Orosco, Seth Watts",3,2024,"2024-09-04","Applied police briefings :",NA,"article",TRUE,"https://doi.org/10.22215/apb.v1i2.5010","https://doi.org/10.21428/cb6ab371.c691ef98",NA,"https://openalex.org/W4404787451",NA,1
