title,authors,author_count,year,publication_date,journal,publisher,type,is_oa,doi,doi_url,pdf_url,openalex_id,pmid,cited_by_count
Officer Perceptions of AI-Based Performance Evaluation: A Latent Class Analysis of Attitudinal Profiles Before and After Deployment,"Seth Watts, Michael D. White, Aili Malm",3,2026,2026-07-17,CrimRxiv,,preprint,False,https://doi.org/10.21428/cb6ab371.67a771e2,https://doi.org/10.21428/cb6ab371.67a771e2,,https://openalex.org/W7169547832,,0
"AI, body‐worn cameras, and a potential civilizing effect for officers: Evidence from the Arizona Truleo study","Michael D. White, Seth Watts, Aili Malm",3,2026,2026-04-24,Criminology & Public Policy,Wiley,article,False,https://doi.org/10.1111/1745-9133.70018,https://doi.org/10.1111/1745-9133.70018,,https://openalex.org/W7155567434,,1
A Comparative Review of De-escalation Training: What Works and Why,"Seth Watts, Carlena Orosco, Michael D. White",3,2026,2026-02-16,CrimRxiv,,preprint,True,https://doi.org/10.21428/cb6ab371.d88be0db,https://doi.org/10.21428/cb6ab371.d88be0db,https://www.crimrxiv.com/pub/69g05cuu/download/pdf,https://openalex.org/W7129007292,,0
"AI in Policing: Capturing Police Performance (Good and Bad) in Routine, Rare, and Novel Events","Seth Watts, Michael D. White, Aili Malm",3,2026,2026-01-19,CrimRxiv,,preprint,True,https://doi.org/10.21428/cb6ab371.c691ef98,https://doi.org/10.21428/cb6ab371.c691ef98,https://www.crimrxiv.com/pub/k4k0rpp1/download/pdf,https://openalex.org/W7124744856,,0
Does automated feedback impact the acceptability of AI-generated police body worn camera review? An implementation science natural experiment,"Seth Watts, Brandon del Pozo, Michael D. White et al.",4,2025,2025-11-24,Journal of Experimental Criminology,Springer Science+Business Media,article,True,https://doi.org/10.1007/s11292-025-09711-7,https://doi.org/10.1007/s11292-025-09711-7,https://link.springer.com/content/pdf/10.1007/s11292-025-09711-7.pdf,https://openalex.org/W4416603187,https://pubmed.ncbi.nlm.nih.gov/41537090,1
Officer Acceptance and Use of AI-Driven Body-Worn Camera Footage Review,"Michael D. White, Seth Watts, Aili Malm et al.",4,2025,2025-09-22,American Journal of Criminal Justice,Springer Science+Business Media,article,False,https://doi.org/10.1007/s12103-025-09857-0,https://doi.org/10.1007/s12103-025-09857-0,,https://openalex.org/W4414428454,,4
An Evaluation of Truleo’s AI-based Body-Worn Camera Analytics,"Michael D. White, Seth Watts, Aili Malm",3,2025,2025-03-31,CrimRxiv,,preprint,True,https://doi.org/10.21428/cb6ab371.45f5258f,https://doi.org/10.21428/cb6ab371.45f5258f,https://www.crimrxiv.com/pub/hy6q0g5t/download/pdf,https://openalex.org/W4408994445,,1
Does proximity to service providers impact punitivity in stop outcomes for individuals experiencing homelessness?,"Katharine L. Brown, Seth Watts, Patricia R. Turner et al.",4,2024,2024-07-11,Journal of Crime and Justice,Taylor & Francis,article,False,https://doi.org/10.1080/0735648x.2024.2375371,https://doi.org/10.1080/0735648x.2024.2375371,,https://openalex.org/W4400551519,,1
Automating body-worn camera footage review through AI: baseline attitudes from a multisite randomized control trial,"Seth Watts, Michael D. White, Aili Malm",3,2024,2024-01-01,Policing A Journal of Policy and Practice,Oxford University Press,article,False,https://doi.org/10.1093/police/paae107,https://doi.org/10.1093/police/paae107,,https://openalex.org/W4403556701,,14
Investigating the prevalence and utility of police body-worn cameras in the George Floyd protests,"Janne E. Gaub, Michael D. White, Aili Malm et al.",5,2022,2022-05-11,Policing An International Journal,Emerald Publishing Limited,article,False,https://doi.org/10.1108/pijpsm-10-2021-0151,https://doi.org/10.1108/pijpsm-10-2021-0151,,https://openalex.org/W4280623538,,5
